iter	Passed	Remaining
0	138	138763
1	140	69870
2	140	46748
3	141	35216
4	142	28365
5	144	23915
6	145	20645
7	147	18330
8	148	16384
9	150	14866
10	154	13870
11	155	12800
12	156	11880
13	162	11414
14	164	10823
15	165	10195
16	167	9659
17	167	9157
18	168	8705
19	169	8295
20	170	7936
21	171	7631
22	172	7325
23	173	7041
24	174	6809
25	175	6590
26	177	6384
27	178	6193
28	179	6002
29	180	5822
30	181	5674
31	183	5538
32	184	5408
33	187	5319
34	188	5189
35	188	5058
36	189	4938
37	190	4831
38	191	4721
39	192	4618
40	193	4520
41	194	4426
42	194	4335
43	195	4257
44	197	4183
45	198	4109
46	198	4033
47	199	3963
48	200	3899
49	202	3846
50	203	3792
51	204	3730
52	205	3680
53	206	3623
54	207	3569
55	208	3522
56	209	3472
57	210	3423
58	211	3375
59	212	3335
60	213	3290
61	214	3248
62	215	3207
63	216	3166
64	217	3125
65	218	3088
66	219	3051
67	221	3034
68	222	3007
69	223	2974
70	224	2940
71	225	2911
72	226	2882
73	227	2852
74	228	2823
75	229	2795
76	231	2769
77	231	2740
78	234	2731
79	235	2705
80	236	2680
81	237	2654
82	237	2627
83	238	2601
84	239	2576
85	240	2552
86	241	2530
87	242	2508
88	242	2487
89	243	2465
90	244	2443
91	246	2434
92	247	2417
93	248	2398
94	249	2380
95	250	2363
96	252	2346
97	253	2329
98	253	2310
99	254	2292
100	255	2275
101	256	2262
102	258	2251
103	259	2238
104	260	2222
105	261	2206
106	262	2191
107	263	2175
108	264	2159
109	265	2144
110	265	2129
111	266	2115
112	268	2105
113	269	2091
114	270	2078
115	272	2073
116	274	2071
117	275	2061
118	276	2050
119	277	2037
120	278	2025
121	279	2012
122	280	2001
123	281	1989
124	282	1977
125	285	1977
126	286	1966
127	287	1956
128	288	1945
129	289	1936
130	290	1926
131	291	1917
132	292	1906
133	293	1896
134	294	1886
135	295	1877
136	298	1877
137	299	1869
138	300	1862
139	301	1854
140	302	1845
141	303	1834
142	304	1826
143	305	1818
144	307	1812
145	309	1809
146	311	1806
147	312	1798
148	313	1789
149	314	1782
150	315	1775
151	316	1766
152	317	1757
153	318	1749
154	319	1742
155	321	1736
156	323	1735
157	324	1731
158	326	1724
159	327	1717
160	327	1709
161	328	1701
162	330	1695
163	331	1690
164	332	1685
165	334	1678
166	335	1675
167	337	1670
168	338	1664
169	339	1657
170	340	1650
171	341	1644
172	342	1638
173	343	1632
174	344	1625
175	345	1619
176	347	1613
177	348	1608
178	349	1602
179	350	1597
180	351	1590
181	352	1584
182	353	1577
183	354	1571
184	355	1567
185	357	1562
186	358	1557
187	359	1551
188	360	1546
189	361	1541
190	362	1535
191	363	1529
192	364	1523
193	365	1517
194	366	1512
195	367	1507
196	368	1501
197	369	1495
198	370	1489
199	371	1484
200	372	1479
201	373	1475
202	374	1472
203	375	1466
204	376	1460
205	377	1456
206	379	1452
207	381	1450
208	382	1445
209	382	1440
210	383	1435
211	385	1431
212	386	1426
213	386	1421
214	387	1416
215	388	1411
216	390	1407
217	391	1403
218	392	1398
219	393	1393
220	393	1388
221	394	1383
222	396	1381
223	397	1378
224	398	1374
225	399	1369
226	401	1365
227	402	1362
228	403	1357
229	404	1353
230	405	1348
231	405	1343
232	407	1339
233	408	1335
234	409	1333
235	410	1329
236	411	1325
237	412	1321
238	413	1316
239	414	1312
240	415	1307
241	416	1303
242	417	1300
243	418	1296
244	419	1292
245	420	1287
246	421	1283
247	422	1280
248	423	1277
249	425	1275
250	426	1271
251	427	1268
252	428	1264
